181 1191,77 A1 även adverb
182 1141,32 A1 skriva verb
183 1127,59 A1 tid noun-en
184 1119,58 A1 ju adverb
185 1115,12 A1 sedan (vardagl. sen) adverb
186 1115,09 A1 te sig verb
187 1088,02 A1 riva verb
188 1039,45 A1 börja verb
189 1034,76 A1 hel adjective
190 1033,61 A1 dag noun-en
191 1033,19 A1 själv pronoun
192 1030,33 A1 människa noun-en
193 949,12 A1 land noun-ett
194 948,52 A1 svensk adjective
195 938,78 A1 fråga noun-en
196 934,32 A1 oss pronoun
197 928,39 A1 tro verb
198 925,85 A1 el noun-en
199 924,85 A1 tycka verb
200 924,68 A1 kommentar noun-en
201 894,31 A1 veta verb
202 865,13 A1 idag (el. i dag) adverb
203 859,72 A1 försöka verb
204 858,16 A1 behöva verb
205 844,13 A1 samma pronoun
206 841,51 A1 mellan prep
207 840,25 A1 känna verb
208 823,05 A1 läsa verb
209 816,02 A1 ro verb
210 809,75 A1 kanske adverb
211 808,09 A1 lik adjective
212 807,17 A1 låta verb
213 790,47 A1 olik adjective
214 788,97 A1 sådan pronoun
215 784,91 A1 sätt noun-ett
216 774,60 A1 hans pronoun
217 771,62 A1 din pronoun
218 763,39 A1 gång noun-en
219 761,80 A1 stå verb
220 758,15 A1 inom prep
221 757,44 A1 visa verb
222 749,26 A1 använda verb
223 749,26 A1 vända verb
224 739,42 A1 hålla verb
225 733,74 A1 genom prep
226 721,67 A1 helt adverb
227 717,99 A1 fler adjective
228 707,53 A1 utan prep
229 705,75 A1 väl adverb
230 700,31 A1 barn noun-ett
231 680,22 A1 enligt prep
232 666,70 A1 tänka verb
233 665,01 A1 ni pronoun
234 662,11 A1 viktig adjective
235 658,84 A1 ring noun-en
236 652,00 A1 eftersom subj
237 624,66 A1 liv noun-ett
238 623,86 A1 deras pronoun
239 617,89 A1 värld noun-en
240 614,61 A1 viss adjective
241 614,54 A1 dock adverb
242 612,48 A1 egen adjective
243 606,98 A1 folk noun-ett
244 603,37 A1 regering noun-en
245 600,53 A1 fram particle
246 597,56 A1 honom pronoun
247 596,07 A1 söka verb
248 590,81 A1 dig (vardagl. dej) pronoun
249 586,71 A1 utan conj
250 581,51 A1 sak noun-en
251 578,03 A1 hög adjective
252 568,83 A1 länge adverb
253 568,43 A1 person noun-en
254 566,60 A1 ligga verb
255 560,93 A1 son noun-en
256 554,95 A1 både conj
257 545,57 A1 just adverb
258 545,17 A1 lägga verb
259 542,86 A1 antal noun-ett
260 533,67 A1 redan adverb
261 521,11 A1 kvinna noun-en
262 520,62 A1 problem noun-ett
